2 -152.539151959111 -152.868036441310 -152.13643137
3 -228.827663306177 -229.316617892800 -225.51627000
4 -305.359223571261 -305.763780855504 -304.27701150
5 -381.398610398789 -382.208963954852 -374.26565610
5 -381.400573846193 -382.210068626837 -380.34641670
