10	-9.551	0.551	-2.720	0.126	-6.831	0.436
9	-8.692	0.660	-2.569	0.179	-6.122	0.486
8	-8.570	0.329	-2.641	0.107	-5.930	0.225
7	-7.829	0.035	-2.282	0.226	-5.546	0.234
6	-7.340	0.633	-2.305	0.196	-5.036	0.487
5	-6.927	0.575	-1.997	0.317	-4.930	0.424
4	-6.947	0.524	-2.095	0.175	-4.852	0.483
3	-6.410	1.088	-1.782	0.612	-4.628	0.517
2	-6.165	0.458	-2.043	0.243	-4.121	0.293
1	-5.804	0.912	-1.899	0.470	-3.905	0.510
