1	1.09452	-0.01797	2.30747	-0.68273	4.43267	-2.71031	1.09905	1.41416	-0.49501	2.59141	-1.87429	0.85742
2	1.09293	-0.01800	2.30093	-0.68149	4.40441	-2.69721	1.09803	1.41510	-0.49520	2.60368	-1.87627	0.85807
3	1.08623	-0.01726	2.31286	-0.68467	4.40752	-2.70120	1.10460	1.40982	-0.49447	2.58195	-1.86900	0.85830
4	1.14465	-0.02248	2.28814	-0.67544	4.38201	-2.67833	1.08280	1.43646	-0.49923	2.64971	-1.90343	0.85383
5	1.14474	-0.02315	2.26333	-0.66970	4.34190	-2.66665	1.07112	1.43807	-0.49901	2.65838	-1.90440	0.85128
6	1.14435	-0.02248	2.28705	-0.67528	4.38099	-2.67787	1.08257	1.43636	-0.49920	2.64968	-1.90364	0.85379
7	1.14477	-0.02314	2.26314	-0.66966	4.34122	-2.66659	1.07106	1.43834	-0.49906	2.66129	-1.90487	0.85133
8	1.15751	-0.02420	2.27607	-0.67196	4.37359	-2.67301	1.07556	1.44490	-0.50032	2.68945	-1.91883	0.84799
9	1.16008	-0.02444	2.27268	-0.67148	4.34605	-2.66604	1.07454	1.44674	-0.50052	2.69923	-1.92224	0.84851
10	1.15514	-0.02419	2.26091	-0.66868	4.33943	-2.66128	1.06895	1.44851	-0.50116	2.71040	-1.92659	0.84961
11	1.15785	-0.02327	2.30912	-0.68004	4.38233	-2.68607	1.09107	1.44597	-0.50133	2.68565	-1.91846	0.85217
12	1.15654	-0.02444	2.26418	-0.66929	4.34778	-2.66161	1.07051	1.44267	-0.49962	2.68179	-1.91455	0.84706
